model,anchor_idx,direction,mag_cm,anchor_min_v2v_m,denoised_min_v2v_m,a_correction_m,b_motion_from_anchor_m,b_motion_from_perturbed_m,pullback_m,recovery_0.5cm,recovery_1cm,recovery_2cm,recovery_5cm
uncond,67,+x,2,0.007673942018300295,0.048047345131635666,0.06097254157066345,0.06622239202260971,0.05524493753910065,-0.023539066314697266,False,False,False,True
uncond,68,+x,2,0.025562584400177002,0.04471207410097122,0.038143448531627655,0.07277966290712357,0.06884970515966415,-0.002386234700679779,False,False,False,True
uncond,69,+x,2,0.009512090124189854,0.02546563372015953,0.04040904715657234,0.07329437136650085,0.08865474909543991,0.0785895586013794,False,False,False,True
uncond,70,+x,2,0.026510344818234444,0.15558099746704102,0.04066868871450424,0.05792766064405441,0.05146776884794235,-0.008970364928245544,False,False,False,False
uncond,71,+x,2,0.013160969130694866,0.055509116500616074,0.07989338040351868,0.044753607362508774,0.053886402398347855,0.030969098210334778,False,False,False,False
uncond,72,+x,2,0.009075991809368134,0.01417908538132906,0.05668404698371887,0.06850501149892807,0.059901345521211624,-0.018847405910491943,False,False,True,True
uncond,73,+x,2,0.014946511946618557,0.0336400605738163,0.05718173831701279,0.050259511917829514,0.049720749258995056,0.004958510398864746,False,False,False,True
uncond,74,+x,2,0.00438774423673749,0.02359338477253914,0.05333183705806732,0.05559216067194939,0.05595867335796356,0.01251763105392456,False,False,False,True
uncond,75,+x,2,0.016669638454914093,0.009290184825658798,0.09246200323104858,0.06643583625555038,0.05810857564210892,-0.016735434532165527,False,True,True,True
uncond,76,+x,2,0.009801417589187622,0.06657534092664719,0.050230082124471664,0.05620775744318962,0.05616602674126625,0.011875748634338379,False,False,False,False
uncond,77,+x,2,0.0022902421187609434,0.06353569030761719,0.054353971034288406,0.06627382338047028,0.05817223712801933,-0.01612401008605957,False,False,False,False
uncond,78,+x,2,0.0023032180033624172,0.0026407847180962563,0.06592771410942078,0.35617145895957947,0.3618704676628113,0.10213465988636017,True,True,True,True
uncond,79,+x,2,0.008906951174139977,0.09075761586427689,0.06757699698209763,0.11181491613388062,0.11557794362306595,0.03292417526245117,False,False,False,False
